,Notes
Security,"External Account Hierarchy  --> CC+/PC - cannot be mixed in hierarchy, Enable mechainsm in Community Settings
Does not work with Person Account
Cannot mix CC+ with PC in single hierarchy
Levels of hierarchy = 5
Number of Accounts in all External Role Hierarchy in Org = 100k
Not compatible with Account Role Optimization
External users cannot manage this hierarchy
"
Security,"ACDSR - Use the lookup field to select how the object is shared. For example, if Account To wants to share only their partner users’ owned leads with Account From, use Owner Id in Account To Criteria Field. If Account To wants to share all their account’s leads, the Account To Criteria field value is Partner Account Id."
Security,"ACDSR - allows conditional sharing via filters
Share leads that have Northern Trail Outfitters listed as the Partner Account Id and who have 100 employees. Change the Account To Criteria Field value to Partner Account Id and enter the advanced formula, NumberOfEmployees = 100."
Data,"FilesConnect allows use with  Quip, Google Drive, SharePoint, or Box."
Data,"External objects cannot be used in TCRM, use src system data directly."
Security,"The file owner can set the file access permission to: Visible to Anyone With Record Access, Private on records 
This prevents the default behavior of anyone having access to the record to also see the file.
https://docs.google.com/document/d/1KPdASOpD-Wxx2F-9-c-evMGX6wL1rmjI6fGv4B8wb_Q/edit"
Security,"Control Manual Sharing for User Records - OWD settings page has an option to enable/disable manual USER  record sharing
To remove manual sharing selectively - remove the button from the layout
"
Data,"ProfileSkill
Represents a profile skill, which describes a user’s professional knowledge. This is a global record for the organization, and users are associated through the ProfileSkillUser object.
This needs a seperate WDC license. "
Mobile,"Custom notifications can be enabled for PUSH (need android/apple registration and api key to be used on connected app), else they could be subscribed to be displayed on the app notification tray"
Data,"Schedule object modelling -  Frequency (Once, daily, weekly, monthly etc.), Days (Sun thru Sat), Time , timezone "
Reports,"TCRM needs CC+ and PC and Ext apps plus , not for CC"
Data,"MD always locked, Lookup is locked provided Clear value is not selected
Note : System waits for 10s for the lock to be released before timing out and  showing the row lock error "
Community,"Ext id - text, email, number . optionally unique
Std index - ID, name, lookup/MD, createdDate, lastModifieldDate, email, external ID
Custom index - Text, number, email, picklist  NOT on LTA, encrypted fields, non deterministic formula fields"
Public WS,Lightning out can be used for unauth users as well
Security,"External Delegated Admin access to Delegated Accounts
 the managing user of an external managed account can manage permission sets for other users, reset passwords, activate, deactivate, or add members to the target account
Accounts cannot be created"
Security,Screen flow can be run in system context with/without sharing
Security,"CC - Acct/own Contact Read only , need sharing set Write to edit contact
CC+ and Partner - Acct and all contacts Read only "
Mobile,"SF mobile app support commie
Yes, through the url switcher, Need API enabled perm, Guest users are not supported"
Data,"For master-detail relationship fields, the Sharing Setting attribute determines the sharing access that users must have to a master record in order to create, edit, or delete its associated detail records."
Data,In Q/A when talking about the juntion object make sure to mention lookup if proposing lookup as SF assumes 2 Master detail relationships 
Security,"TCRM and SF connectivity - local connection with local SF org (no auth), external connection for non local SF org (username/password)"
Presentation,"Consider indirect syncs that are needed as part of the solution E.g. Product master sync from ERP to SF
"
Presnetation,Auth provider - mention reghandlers
Gov,"Gauge the impact of GOV on the enitre solution. READ the GOV in first pass and mark the critical points like delivery in 4 months
Tie Gov (project deadline) with suggested options - E.g. XfilesPRO for a 4 month project, instead ask them to buy more Chatter FILE licenses and attach files
Barcode scanner for AppX can be proposed if Gov dicates project needs to be released in 4 months

"
ENV,"Master branch is created. Developer branch is forked from it. feature branches are forked from Developer. After work is done Feature branches  get nerged into Dev. From Dev release branch is created and code is deployed to 
QA. Bug fixes are done in Dev and pushed to release. Eventually release is merged to Master and Master code is deployed to PROD. Release is merged back on Dev as Dev might have proceeded further. Urgent bug fixes 
are done in Hotfix which gets merged into Master and Dev. The Release branches are short lived for the release. The master branch is tagged for the release and release branch deleted"
Security,CC+ and PC need at least 1 role
Security,ACR allows access to account for external users
Data,Opp  Line items are synced only on Quote creation automatically
Sharing,"If person accounts are enabled, the organization-wide default sharing must be set in one of the following ways. Contacts are set to Controlled by Parent, or accounts and contacts are both set to Private.
Sharing set are possible on PA"
Security,"General security mechanisms
W2L - captcha - supported OOTB
ESB/ETL - JWT
TCRM - local connection (native no sec), external SF - username/passwd , external apps - OAUTH
Mobile - layered SAML/OIDC - Oauth user agent flow"
Security,"Canvas apps that need to authneticate the user (with an external IDP or internally) the user would be redirected to the IDP and the original signed request context is lost. In such cases when the user is redirected back to Canvas app
we can use the Canvas SDK methos refreshSignedRequest() to get the signed request on demand from Sf and resume the flow.
repost() can be used as well"
Security,"Hybrid mobile apps use a OAUTH hybrid token flow. Main difference
response_code=hybrid token 
Along with access token, session Ids are returned for requested domain scopes (lightning, VF, content). These are stored in cookies
They can be used to access SF UI components from within the hybrid app
"
Risks slide,"Website development - Separate workstream with additional resources, included in CoE
6 month release for US - Define MVP, buy vs build
Regulatory requirement - Include compliance team in COE; define regression strategy to ensure meeting requirements
Mobile publisher - Set up Separate workstream with additional resources, included in CoE, Submit asset to SF early, Plan time for iOS and Android approval


 "
FIles,"ContentDocument - FileName, File ext, ContentSize
ContentDocumentVersion - Contents (blob), FirstPublishLocationId, File extension, FileType
ContentDocLink - LinkedEntityId (to whom it is shared), Visibility"
Knowledge,"It takes data storage , custom fields are supported, articles based on case Id, title, description can be shown via custom button +JS
Security access - via sharing on KAV objects and data categories. Data categories controls filter ans query results of KB when sharing is done
Revise - https://drive.google.com/drive/u/0/folders/1BDP6VmPtpF5FflXuIyg_MHhwJJaBTTSC
              https://docs.google.com/document/d/1D5FjftDG5tdANEK8qDTPD50H9lSv_MIGb46CdqfTZFg/edit#"
Integration,"PE's have a publish behavior 
- Publish immediately (published even if parent txn rolls back)
- Publish after commit"
Security,We can add Roles in a public group and use Public groups in CBS for efficient sharing. Using this prevents the extra work needed to add one user at a time to the public group
Security,OBS - Acct owned by members of a public grp -> (share with) other members of the public group
Community,"Start with OOTB layouts, Screen flow and then propose LWC if there is a mention of good UX or gaps with OOTB"
Data,"Ext id - text, email, number . optionally unique
Std index - ID, name, lookup/MD, createdDate, lastModifieldDate, email
Custom index - Text, number, email, picklist  NOT on LTA, encrypted fields, non deterministic formula fields"
Data,OLI needs Pricebook in addition to Products. For each multi-c a separate PB would need to be created
Integration,Ext services can be invoked from APEX as they are just invocable methods
Data,Big Object async SOQL works like a reporting snapshot- data is extracted and put in a custom object on which reporting could be done
Automation,"Einstein bots can be used to execute apex actions base don user choices (e.g. reset password).
